variable,win,loss,difference,pct_difference
f1_all_draw,0.2378683606846656,0.271280276816609,-0.03341191613194339,-12.316382349657706
f1_all_loss,4.975472031056997,5.815224913494809,-0.8397528824378124,-14.440591635399723
f1_all_win,15.412740427033704,15.331487889273356,0.08125253776034747,0.5299716397205945
f1_cum_ftime,38.83313334509747,37.057153979238954,1.7759793658585181,4.79254118342034
f1_cum_rnd,13.604376213163931,13.030103806228373,0.5742724069355578,4.407274228015412
f1_cum_strikes,226.32367596640242,216.97356090887735,9.350115057525073,4.309333827752337
f1_cum_sub,3.643825021039997,3.436788768716873,0.20703625232312373,6.02411920708239
f1_cum_td,9.487494591095667,8.510311245095862,0.9771833459998049,11.482345567124996
f1_dob,1983.4262788571061,1982.827112553605,0.5991663035010788,0.030217778428975883
f1_height,179.28277826189552,179.10801590958647,0.17476235230904535,0.09757371908873935
f1_loss_streak,0.46161990471148756,0.46903114186851214,-0.007411237157024575,-1.5801162216009579
f1_reach,184.1014806025734,183.80219562546634,0.2992849771070496,0.1628299249030185
f1_stance,12.320275277924829,23.344290657439448,-11.02401537951462,-47.22360401215037
f1_stpm,38.41985850636868,43.096297337550475,-4.676438831181791,-10.851138311381426
f1_subpm,1.8188354977464214,2.4997781227056177,-0.6809426249591963,-27.240122584246905
f1_tdpm,1.768882190445221,2.5333456199941025,-0.7644634295488815,-30.176041654776697
f1_total_fights,20.647432503970354,21.441695501730102,-0.7942629977597484,-3.7042919376206074
f1_ufc_draw,0.018704782071642844,0.016262975778546712,0.002441806293096132,15.01451103627196
f1_ufc_loss,1.63384506793718,1.693771626297578,-0.05992655836039784,-3.5380542116762004
f1_ufc_nc,0.02135168519498853,0.02370242214532872,-0.0023507369503401876,-9.91770771749364
f1_ufc_total_fights,4.898358920063526,4.678200692041522,0.22015822802200358,4.706044962896372
f1_ufc_win,3.224457384859714,2.9444636678200693,0.2799937170396447,9.509158496322613
f1_weight,77.99307777829179,78.41134311638363,-0.4182653380918424,-0.533424529498272
f1_win_streak,1.0435856714310923,0.8342560553633218,0.20932961606777045,25.091770652669297
f2_all_draw,0.27227810128815955,0.2491349480968858,0.023143153191273746,9.289404544830715
f2_all_loss,5.84418563613905,5.0283737024221455,0.8158119337169047,16.224170715950017
f2_all_win,15.547203105699666,15.455017301038062,0.09218580466160375,0.5964781718841072
f2_cum_ftime,35.11025233809778,43.21624279123424,-8.105990453136457,-18.756814404931642
f2_cum_rnd,12.230457031939297,14.917820069204152,-2.6873630372648556,-18.01444865803522
f2_cum_strikes,132.8312030918756,160.8785516039573,-28.047348512081697,-17.433864385556653
f2_cum_sub,1.6464515390561996,1.9200123966392404,-0.27356085758304083,-14.247869339899966
f2_cum_td,3.614921031085739,4.2607190244959225,-0.6457979934101834,-15.157019031232332
f2_dob,1982.995323039007,1983.200466240143,-0.2051432011360248,-0.01034404764561625
f2_height,179.0127321453687,179.40416902492507,-0.3914368795563803,-0.21818717016659495
f2_loss_streak,0.47961884595023824,0.4548442906574394,0.024774555292798817,5.446821209295449
f2_reach,183.72596766429746,184.17832781387352,-0.45236014957606585,-0.24560986894897052
f2_stance,16.633668607728957,14.078027681660899,2.555640926068058,18.1534017680419
f2_stpm,19.115431954594335,14.090737661507685,5.02469429308665,35.65955462227388
f2_subpm,0.39369895273452676,0.3315886632846021,0.06211028944992464,18.73112573713518
f2_tdpm,0.7178896332080809,0.5033283689485998,0.21456126425948108,42.62848619235928
f2_total_fights,21.68784189165343,20.753460207612456,0.9343816840409751,4.50229347151585
f2_ufc_draw,0.016587259572966296,0.01833910034602076,-0.0017518407730544652,-9.552490253070578
f2_ufc_loss,1.7248985353802717,1.6100346020761245,0.11486393330414724,7.134252466129065
f2_ufc_nc,0.02417504852655726,0.020934256055363323,0.0032407924711939373,15.48081031694295
f2_ufc_total_fights,4.753485089112405,4.852076124567474,-0.09859103545506898,-2.031935050562661
f2_ufc_win,2.98782424563261,3.2027681660899656,-0.21494392045735555,-6.711191984893661
f2_weight,77.9185816382084,78.45931065718149,-0.5407290189730958,-0.6891840043506736
f2_win_streak,0.8381859890594671,1.04878892733564,-0.21060293827617305,-20.08058368915012
